Program ID of SkyWatcher Network training:5598

Program command: 
 ['TrainSkyWatcher.py', '/home/hxie1/temp_netParameters/OvarianCancer/SkyWatcher', '/home/hxie1/data/OvarianCancerCT/Extract_ps2_2_5/Images_ROI_29_140_140', '/home/hxie1/data/OvarianCancerCT/Extract_ps2_2_5/Labels_ROI_23_127_127', '/home/hxie1/data/OvarianCancerCT/patientResponseDict.json']

Major program changes: 
                      merge train and test dataMgr into one.
                      when epoch %5 ==0, do not use mixup.
                      

Experiment setting for Image3d ROI to response:
Input CT data: 29*140*140  3D CT raw image ROI with spacing size(5*2*2)
segmentation label: 23*127*127 with spacing size(5*2*2) segmentation label with value (0,1,2) which erases lymph node label

This is a multi-task learning. 

Predictive Model: 1,  first 3-layer dense conv block with channel size 128.
                  2,  and 3 dense conv DownBB blocks,  each of which includes a stride 2 conv and 3-layers dense conv block; 
                  3,  and 3 fully connected layers  changes the tensor into size 2*1;
                  4,  final a softmax for binary classification;
                  Total network learning parameters are 8 million.
                  Network architecture is referred at https://github.com/Hui-Xie/OvarianCancer/blob/master/SkyWatcherModel.py

response Loss Function:   focus loss  with weight [3.3, 1.4] for [0,1] class separately, as [0,1] uneven distribution.
segmentation loss function: focus loss  with weight [1.0416883685076772, 39.37007874015748, 68.39945280437757] for label (0, 1, 2)

Data:   training data has 113 patients, and valdiation data has 27 patients with training/test rate 80/20.
        We randomize all data, and then assign same distrubtion of treat reponse 0,1 into to training and test data set.
        

Training strategy:  50% probability of data are mixed up with beta distribution with alpha =0.4, to feed into network for training. 
                    No other data augmentation, and no dropout.  

                    Learning Scheduler:  Reduce learning rate on  plateau, and learning rate patience is 30 epochs.                                

            

Program starting Time: 2019-06-10 16:12:26.598419
Info: netPath = /home/hxie1/temp_netParameters/OvarianCancer/SkyWatcher

Now program get 140 input files.
Infor: In all data of 140 files, respone 0 has 41 files,
	  and response 1 has 99 files 
==== Regenerate training set and validation set by random with same distribution of 0 and 1 ==== 
Infor: Validation Set has 27 files,and Training Set has 113 files
TrainTestData Input:  batchSize=4, depth=29, height=140, width=140

Info: the size of bottle neck in the net = 128* (1, 7, 7)

Info: program uses Mixup with alpha=0.4, and mixupProb = 0.5.
Network trains from scratch.
Network has total 8,134,012 parameters.
Infor: Cross Entropy Weight: [3.3333333333333335, 1.4285714285714286] for label[0, 1]
Infor: Segmentation Cross Entropy Weight: [1.0416883685076772, 39.37007874015748, 68.39945280437757] for label (0, 1, 2)
Info: program will use 4 GPUs.
Loss Functions List: FocalCELoss with weight of 1; 	FocalCELoss with weight of 1; 
Hints: Test Dice_0 is the dice coeff for all non-zero labels
Hints: Test Dice_1 is for primary cancer(green), 	
 test Dice_2 is for metastasis(yellow), 	
 and test Dice_3 is for invaded lymph node(brown).
Hints: Test TPR_0 is the TPR for all non-zero labels
Hints: Test TPR_1 is for primary cancer(green), 	
 TPR_2 is for metastasis(yellow), 	
 and TPR_3 is for invaded lymph node(brown).

Dice is based on all 2D segmented slices in the volume from weak annotation, not real 3D dice.

Hints: Optimal_Result = Yes = 1,  Optimal_Result = No = 0 

Epoch	TrLoss	Dice0	Dice1	Dice2	TPR_0	TPR_1	TPR_2	Accura	TPR_r	TsLoss	Dice0	Dice1	Dice2	TPR_0	TPR_1	TPR_2	Accura	TPR_r
20	0.3662	0.244	0.401	0.168	0.940	0.840	0.793	0.7143	1.0000	0.4877	0.240	0.170	0.250	0.842	0.390	0.813	0.7083	1.0000
21	0.3833	0.000	0.000	0.000	0.000	0.000	0.000	0.7679	1.0000	1.5955	0.181	0.186	0.191	0.731	0.401	0.551	0.7083	1.0000
22	0.3720	0.000	0.000	0.000	0.000	0.000	0.000	0.6842	1.0000	0.5869	0.239	0.230	0.238	0.779	0.487	0.604	0.6667	1.0000
23	0.3393	0.000	0.000	0.000	0.000	0.000	0.000	0.8214	1.0000	0.5010	0.253	0.262	0.241	0.954	0.670	0.779	0.6667	1.0000
24	0.3798	0.000	0.000	0.000	0.000	0.000	0.000	0.6818	1.0000	0.6099	0.175	0.184	0.127	0.837	0.338	0.827	0.7500	1.0000
25	0.3853	0.226	0.370	0.147	0.935	0.798	0.788	0.7054	1.0000	0.4926	0.213	0.240	0.185	0.790	0.366	0.836	0.7083	1.0000
26	0.3471	0.000	0.000	0.000	0.000	0.000	0.000	0.7679	1.0000	0.4633	0.244	0.269	0.203	0.892	0.738	0.701	0.6667	1.0000
27	0.3100	0.000	0.000	0.000	0.000	0.000	0.000	0.7000	1.0000	0.5455	0.307	0.152	0.268	0.883	0.490	0.796	0.6667	1.0000
28	0.3204	0.000	0.000	0.000	0.000	0.000	0.000	0.7344	1.0000	0.4838	0.232	0.256	0.208	0.873	0.838	0.522	0.6667	1.0000
29	0.2974	0.000	0.000	0.000	0.000	0.000	0.000	0.5909	1.0000	0.5660	0.258	0.280	0.198	0.766	0.499	0.574	0.7500	1.0000
30	0.2605	0.296	0.424	0.234	0.950	0.884	0.911	0.7054	1.0000	0.4753	0.280	0.250	0.262	0.750	0.490	0.673	0.7083	1.0000
31	0.3022	0.000	0.000	0.000	0.000	0.000	0.000	0.7031	1.0000	0.5088	0.252	0.280	0.192	0.935	0.842	0.684	0.6667	1.0000
32	0.3255	0.000	0.000	0.000	0.000	0.000	0.000	0.7656	1.0000	0.5684	0.274	0.270	0.188	0.937	0.684	0.621	0.7083	1.0000
33	0.3272	0.000	0.000	0.000	0.000	0.000	0.000	0.6667	1.0000	0.5387	0.228	0.206	0.232	0.917	0.844	0.649	0.7083	1.0000
34	0.3249	0.000	0.000	0.000	0.000	0.000	0.000	0.8125	1.0000	0.4549	0.268	0.307	0.261	0.909	0.769	0.778	0.7083	1.0000
35	0.2903	0.293	0.412	0.218	0.943	0.845	0.883	0.7054	1.0000	0.5403	0.287	0.165	0.288	0.912	0.497	0.799	0.6667	1.0000
36	0.3556	0.000	0.000	0.000	0.000	0.000	0.000	0.6562	1.0000	0.4718	0.234	0.256	0.187	0.895	0.760	0.657	0.7083	1.0000
37	0.3521	0.000	0.000	0.000	0.000	0.000	0.000	0.7000	1.0000	0.4813	0.229	0.291	0.189	0.964	0.847	0.684	0.6667	1.0000
38	0.3037	0.000	0.000	0.000	0.000	0.000	0.000	0.6739	1.0000	0.4616	0.273	0.257	0.252	0.853	0.686	0.763	0.7500	1.0000
39	0.2962	0.000	0.000	0.000	0.000	0.000	0.000	0.7679	1.0000	0.4754	0.279	0.242	0.244	0.884	0.597	0.787	0.7917	1.0000
40	0.2489	0.336	0.445	0.256	0.956	0.897	0.913	0.7054	1.0000	0.5971	0.367	0.374	0.221	0.749	0.652	0.561	0.7083	1.0000
41	0.2703	0.000	0.000	0.000	0.000	0.000	0.000	0.6875	1.0000	0.5053	0.347	0.148	0.281	0.890	0.325	0.878	0.7500	1.0000
42	0.2764	0.000	0.000	0.000	0.000	0.000	0.000	0.6250	1.0000	0.4098	0.336	0.453	0.277	0.859	0.793	0.747	0.7083	1.0000
43	0.2766	0.000	0.000	0.000	0.000	0.000	0.000	0.6731	1.0000	0.4409	0.303	0.246	0.254	0.873	0.624	0.720	0.7500	1.0000
44	0.3127	0.000	0.000	0.000	0.000	0.000	0.000	0.7500	1.0000	0.4710	0.302	0.224	0.263	0.879	0.520	0.804	0.7083	1.0000
45	0.2455	0.344	0.470	0.271	0.962	0.908	0.924	0.7143	1.0000	0.5320	0.319	0.310	0.234	0.798	0.559	0.714	0.7917	1.0000
46	0.2395	0.000	0.000	0.000	0.000	0.000	0.000	0.7500	1.0000	0.4823	0.322	0.379	0.256	0.872	0.710	0.695	0.6667	1.0000
47	0.4500	0.000	0.000	0.000	0.000	0.000	0.000	0.6607	1.0000	1.0379	0.231	0.245	0.142	0.860	0.401	0.635	0.7500	1.0000
48	0.3945	0.000	0.000	0.000	0.000	0.000	0.000	0.7500	1.0000	0.4968	0.208	0.224	0.211	0.974	0.517	0.747	0.6667	1.0000
49	0.3342	0.000	0.000	0.000	0.000	0.000	0.000	0.6875	1.0000	0.4437	0.289	0.258	0.260	0.960	0.611	0.839	0.7083	1.0000
50	0.2673	0.331	0.436	0.254	0.960	0.904	0.909	0.7054	1.0000	0.5133	0.323	0.263	0.257	0.857	0.591	0.682	0.7083	1.0000
51	0.2788	0.000	0.000	0.000	0.000	0.000	0.000	0.7667	1.0000	0.5285	0.283	0.368	0.214	0.802	0.644	0.695	0.7083	1.0000
52	0.3005	0.000	0.000	0.000	0.000	0.000	0.000	0.7500	1.0000	0.5228	0.338	0.377	0.269	0.822	0.665	0.690	0.7083	1.0000
53	0.3018	0.000	0.000	0.000	0.000	0.000	0.000	0.6591	1.0000	0.4424	0.285	0.310	0.242	0.847	0.646	0.632	0.6667	1.0000
54	0.2822	0.000	0.000	0.000	0.000	0.000	0.000	0.6944	1.0000	0.5403	0.310	0.304	0.243	0.845	0.780	0.463	0.7083	1.0000
55	0.2314	0.369	0.487	0.287	0.961	0.908	0.927	0.7143	1.0000	0.4856	0.313	0.317	0.278	0.816	0.754	0.691	0.6667	1.0000
56	0.2804	0.000	0.000	0.000	0.000	0.000	0.000	0.7115	1.0000	0.5834	0.309	0.283	0.249	0.678	0.433	0.637	0.7083	1.0000
57	0.2945	0.000	0.000	0.000	0.000	0.000	0.000	0.7250	1.0000	0.4311	0.283	0.256	0.252	0.964	0.590	0.801	0.7083	1.0000
58	0.2739	0.000	0.000	0.000	0.000	0.000	0.000	0.7917	1.0000	0.5055	0.334	0.137	0.254	0.833	0.308	0.721	0.7083	1.0000
59	0.2655	0.000	0.000	0.000	0.000	0.000	0.000	0.7500	1.0000	0.5016	0.323	0.265	0.308	0.790	0.594	0.704	0.6667	1.0000
60	0.2285	0.372	0.492	0.291	0.971	0.920	0.939	0.7054	1.0000	0.4497	0.364	0.342	0.300	0.802	0.546	0.734	0.6667	1.0000
61	0.2939	0.000	0.000	0.000	0.000	0.000	0.000	0.6818	1.0000	0.5793	0.319	0.275	0.249	0.796	0.519	0.623	0.7083	1.0000
62	0.3016	0.000	0.000	0.000	0.000	0.000	0.000	0.6500	1.0000	0.4656	0.290	0.326	0.226	0.867	0.713	0.635	0.6667	1.0000
63	0.2724	0.000	0.000	0.000	0.000	0.000	0.000	0.7031	1.0000	0.4751	0.250	0.343	0.215	0.888	0.712	0.698	0.7083	1.0000
64	0.2973	0.000	0.000	0.000	0.000	0.000	0.000	0.8333	1.0000	0.5980	0.272	0.267	0.252	0.693	0.373	0.643	0.7083	1.0000
65	0.2325	0.374	0.506	0.277	0.969	0.924	0.916	0.7054	1.0000	0.7287	0.318	0.229	0.262	0.619	0.393	0.584	0.6667	1.0000
66	0.2706	0.000	0.000	0.000	0.000	0.000	0.000	0.7333	1.0000	0.5078	0.335	0.179	0.233	0.766	0.377	0.645	0.7500	1.0000
67	0.2526	0.000	0.000	0.000	0.000	0.000	0.000	0.7115	1.0000	0.6363	0.274	0.223	0.233	0.676	0.461	0.564	0.6667	1.0000
68	0.2918	0.000	0.000	0.000	0.000	0.000	0.000	0.6875	1.0000	0.5983	0.283	0.201	0.269	0.857	0.518	0.719	0.7083	1.0000
69	0.2682	0.000	0.000	0.000	0.000	0.000	0.000	0.6731	1.0000	0.4928	0.305	0.286	0.274	0.797	0.658	0.608	0.6667	1.0000
70	0.2261	0.389	0.508	0.302	0.966	0.900	0.938	0.7054	1.0000	0.5593	0.351	0.326	0.292	0.695	0.568	0.569	0.7083	1.0000
71	0.2655	0.000	0.000	0.000	0.000	0.000	0.000	0.7333	1.0000	0.4965	0.322	0.400	0.199	0.794	0.764	0.584	0.7500	1.0000
72	0.2829	0.000	0.000	0.000	0.000	0.000	0.000	0.6562	1.0000	0.4723	0.318	0.343	0.303	0.747	0.645	0.656	0.7083	1.0000
73	0.2626	0.000	0.000	0.000	0.000	0.000	0.000	0.6667	1.0000	0.5492	0.312	0.307	0.280	0.779	0.598	0.680	0.7083	1.0000
74	0.2478	0.000	0.000	0.000	0.000	0.000	0.000	0.6974	1.0000	0.5449	0.330	0.272	0.309	0.737	0.420	0.711	0.6667	1.0000
75	0.2129	0.432	0.550	0.341	0.983	0.935	0.957	0.7054	1.0000	0.6632	0.360	0.211	0.286	0.695	0.293	0.696	0.7083	1.0000
76	0.2330	0.000	0.000	0.000	0.000	0.000	0.000	0.7143	1.0000	0.5091	0.332	0.309	0.288	0.678	0.584	0.555	0.7500	1.0000
77	0.2350	0.000	0.000	0.000	0.000	0.000	0.000	0.7353	1.0000	0.6465	0.307	0.190	0.197	0.761	0.404	0.666	0.7500	1.0000
78	0.2634	0.000	0.000	0.000	0.000	0.000	0.000	0.7188	1.0000	0.6489	0.329	0.191	0.255	0.668	0.296	0.559	0.7083	1.0000
79	0.2188	0.000	0.000	0.000	0.000	0.000	0.000	0.6579	1.0000	0.5000	0.338	0.350	0.266	0.675	0.545	0.576	0.7083	1.0000
80	0.2070	0.478	0.594	0.380	0.984	0.929	0.951	0.7054	1.0000	0.6411	0.318	0.163	0.267	0.670	0.337	0.557	0.6667	1.0000
81	0.2744	0.000	0.000	0.000	0.000	0.000	0.000	0.6875	1.0000	0.5329	0.294	0.347	0.269	0.901	0.846	0.496	0.6667	1.0000
82	0.2371	0.000	0.000	0.000	0.000	0.000	0.000	0.7262	1.0000	0.4875	0.262	0.258	0.278	0.930	0.794	0.604	0.6667	1.0000
83	0.2255	0.000	0.000	0.000	0.000	0.000	0.000	0.7250	1.0000	0.5280	0.372	0.394	0.301	0.740	0.618	0.563	0.6667	1.0000
84	0.2588	0.000	0.000	0.000	0.000	0.000	0.000	0.7308	1.0000	0.5052	0.311	0.215	0.271	0.648	0.474	0.527	0.6667	1.0000
85	0.2051	0.467	0.564	0.381	0.987	0.951	0.959	0.7143	1.0000	0.5387	0.335	0.391	0.240	0.640	0.639	0.465	0.7083	1.0000
86	0.2545	0.000	0.000	0.000	0.000	0.000	0.000	0.7500	1.0000	0.5313	0.400	0.357	0.352	0.725	0.542	0.651	0.7083	1.0000
87	0.2368	0.000	0.000	0.000	0.000	0.000	0.000	0.7000	1.0000	0.4534	0.302	0.216	0.233	0.771	0.445	0.630	0.7083	1.0000
88	0.2278	0.000	0.000	0.000	0.000	0.000	0.000	0.6765	1.0000	0.5610	0.343	0.276	0.283	0.700	0.485	0.524	0.6667	1.0000
89	0.2610	0.000	0.000	0.000	0.000	0.000	0.000	0.6923	1.0000	0.4489	0.255	0.267	0.260	0.804	0.769	0.612	0.6667	1.0000
90	0.2052	0.473	0.581	0.383	0.983	0.947	0.951	0.7054	1.0000	0.5859	0.370	0.395	0.283	0.630	0.608	0.454	0.6667	1.0000
91	0.2454	0.000	0.000	0.000	0.000	0.000	0.000	0.7333	1.0000	0.5348	0.328	0.317	0.286	0.673	0.535	0.547	0.6667	1.0000
92	0.2369	0.000	0.000	0.000	0.000	0.000	0.000	0.6429	1.0000	0.6687	0.321	0.295	0.239	0.703	0.489	0.648	0.7500	1.0000
93	0.2626	0.000	0.000	0.000	0.000	0.000	0.000	0.7500	1.0000	0.5639	0.326	0.214	0.296	0.856	0.329	0.683	0.7083	1.0000
94	0.2386	0.000	0.000	0.000	0.000	0.000	0.000	0.6806	1.0000	0.5661	0.369	0.423	0.282	0.745	0.679	0.564	0.7500	1.0000
95	0.2042	0.493	0.579	0.422	0.981	0.933	0.955	0.7054	1.0000	0.6067	0.391	0.359	0.314	0.655	0.585	0.527	0.6667	1.0000
96	0.2231	0.000	0.000	0.000	0.000	0.000	0.000	0.6562	1.0000	0.5555	0.375	0.413	0.292	0.723	0.746	0.477	0.7500	1.0000
97	0.2549	0.000	0.000	0.000	0.000	0.000	0.000	0.8333	1.0000	0.5203	0.265	0.310	0.235	0.861	0.774	0.571	0.6667	1.0000
98	0.2441	0.000	0.000	0.000	0.000	0.000	0.000	0.6500	1.0000	0.5154	0.366	0.354	0.274	0.746	0.605	0.533	0.7500	1.0000
99	0.2627	0.000	0.000	0.000	0.000	0.000	0.000	0.7115	1.0000	0.4764	0.322	0.337	0.270	0.868	0.665	0.672	0.7083	1.0000
100	0.2059	0.498	0.615	0.399	0.986	0.959	0.972	0.7054	1.0000	0.5517	0.359	0.205	0.307	0.707	0.398	0.658	0.6667	1.0000
101	0.2241	0.000	0.000	0.000	0.000	0.000	0.000	0.6833	1.0000	0.5908	0.315	0.277	0.244	0.562	0.466	0.499	0.7083	1.0000
102	0.2541	0.000	0.000	0.000	0.000	0.000	0.000	0.7917	1.0000	0.5839	0.359	0.306	0.310	0.738	0.494	0.652	0.7083	1.0000
103	0.2550	0.000	0.000	0.000	0.000	0.000	0.000	0.7500	1.0000	0.5145	0.276	0.268	0.282	0.879	0.681	0.578	0.6667	1.0000
104	0.2236	0.000	0.000	0.000	0.000	0.000	0.000	0.6974	1.0000	0.6238	0.316	0.246	0.255	0.670	0.520	0.538	0.7083	1.0000
105	0.1977	0.515	0.615	0.431	0.989	0.951	0.976	0.7143	1.0000	0.6123	0.356	0.331	0.295	0.630	0.583	0.477	0.7083	1.0000
106	0.2414	0.000	0.000	0.000	0.000	0.000	0.000	0.6923	1.0000	0.5245	0.287	0.174	0.256	0.676	0.434	0.602	0.7083	1.0000
107	0.2314	0.000	0.000	0.000	0.000	0.000	0.000	0.7885	1.0000	0.5415	0.358	0.358	0.296	0.703	0.595	0.572	0.7083	1.0000
108	0.2333	0.000	0.000	0.000	0.000	0.000	0.000	0.7500	1.0000	0.6125	0.317	0.164	0.297	0.655	0.432	0.558	0.7083	1.0000
109	0.2674	0.000	0.000	0.000	0.000	0.000	0.000	0.6923	1.0000	0.5044	0.317	0.304	0.283	0.859	0.729	0.546	0.7917	1.0000
110	0.2036	0.506	0.607	0.426	0.989	0.953	0.950	0.7054	1.0000	0.6735	0.346	0.284	0.283	0.519	0.456	0.371	0.6667	1.0000
111	0.2330	0.000	0.000	0.000	0.000	0.000	0.000	0.7353	1.0000	0.5512	0.338	0.331	0.275	0.811	0.658	0.571	0.7500	1.0000
112	0.2370	0.000	0.000	0.000	0.000	0.000	0.000	0.6818	1.0000	0.6296	0.351	0.286	0.265	0.750	0.548	0.506	0.7083	1.0000
113	0.2428	0.000	0.000	0.000	0.000	0.000	0.000	0.6923	1.0000	0.6280	0.399	0.319	0.317	0.754	0.522	0.599	0.7083	1.0000
114	0.2287	0.000	0.000	0.000	0.000	0.000	0.000	0.7250	1.0000	0.5386	0.354	0.218	0.295	0.761	0.350	0.640	0.6667	1.0000
115	0.1990	0.539	0.634	0.453	0.990	0.957	0.978	0.7054	1.0000	0.7283	0.355	0.171	0.265	0.584	0.310	0.502	0.6667	1.0000
116	0.2213	0.000	0.000	0.000	0.000	0.000	0.000	0.6912	1.0000	0.6332	0.377	0.385	0.284	0.685	0.651	0.487	0.6667	1.0000
117	0.2225	0.000	0.000	0.000	0.000	0.000	0.000	0.7353	1.0000	0.6098	0.338	0.272	0.304	0.712	0.406	0.614	0.6667	1.0000
118	0.2316	0.000	0.000	0.000	0.000	0.000	0.000	0.6607	1.0000	0.5997	0.332	0.175	0.319	0.726	0.352	0.625	0.6667	1.0000
119	0.2458	0.000	0.000	0.000	0.000	0.000	0.000	0.5682	1.0000	0.5576	0.313	0.288	0.282	0.848	0.562	0.623	0.6667	1.0000
120	0.1984	0.542	0.648	0.460	0.993	0.971	0.979	0.7054	1.0000	0.5839	0.346	0.283	0.311	0.667	0.421	0.578	0.6667	1.0000
121	0.2342	0.000	0.000	0.000	0.000	0.000	0.000	0.7344	1.0000	0.6750	0.330	0.151	0.295	0.729	0.311	0.639	0.7500	1.0000
122	0.2477	0.000	0.000	0.000	0.000	0.000	0.000	0.6786	1.0000	0.5804	0.330	0.166	0.284	0.679	0.308	0.601	0.6667	1.0000
123	0.2124	0.000	0.000	0.000	0.000	0.000	0.000	0.7500	1.0000	0.6840	0.318	0.228	0.276	0.598	0.414	0.544	0.7083	1.0000
124	0.2330	0.000	0.000	0.000	0.000	0.000	0.000	0.7321	1.0000	0.6468	0.343	0.302	0.269	0.723	0.471	0.615	0.7500	1.0000
125	0.1974	0.519	0.606	0.439	0.993	0.967	0.979	0.7143	1.0000	0.6769	0.313	0.253	0.271	0.539	0.426	0.441	0.6667	1.0000
126	0.2271	0.000	0.000	0.000	0.000	0.000	0.000	0.6618	1.0000	0.7071	0.340	0.264	0.247	0.535	0.397	0.416	0.6667	1.0000
127	0.2256	0.000	0.000	0.000	0.000	0.000	0.000	0.6912	1.0000	0.6470	0.369	0.393	0.307	0.626	0.555	0.521	0.7083	1.0000
128	0.2244	0.000	0.000	0.000	0.000	0.000	0.000	0.7500	1.0000	0.5136	0.290	0.230	0.233	0.586	0.486	0.469	0.7083	1.0000
129	0.2301	0.000	0.000	0.000	0.000	0.000	0.000	0.7500	1.0000	0.6828	0.303	0.182	0.252	0.497	0.351	0.416	0.7500	1.0000
130	0.1931	0.583	0.677	0.496	0.993	0.966	0.982	0.7143	1.0000	0.6229	0.347	0.355	0.247	0.577	0.547	0.435	0.7083	1.0000
131	0.2117	0.000	0.000	0.000	0.000	0.000	0.000	0.6875	1.0000	0.5707	0.345	0.404	0.263	0.754	0.793	0.372	0.7083	1.0000
132	0.2395	0.000	0.000	0.000	0.000	0.000	0.000	0.7031	1.0000	0.6468	0.349	0.276	0.299	0.669	0.476	0.522	0.6667	1.0000
