=============training from sratch============
Program ID: 10668

Program command: 
 ['TrainResAttentionNet.py', '/home/hxie1/temp_netParameters/OvarianCancer/ResNeXtAtten', '/home/hxie1/data/OvarianCancerCT/Extract_ps2_2_5/images_npy', '/home/hxie1/data/OvarianCancerCT/patientResponseDict.json', '0', '0']

Major program changes: 
            ResNeXt-based Attention Net: use 2D network to implement 3D convolution without losing 3D context information. 
            0   the input is a 3D full volume without any cropping; 
            1   Use slices as features channels in convolutions,  and use 1*1 convolution along slices direction to implement z direction convolution followed by 3*3 convolutino inside slice planes;
                It just uses three cascading 2D convolutions (first z, then xy, and z direction again) to implement 3D convolution, like in the paper of ResNeXt below.
                The benefits of this design:
                A   reduce network parameters, hoping to reducing overfitting;
                B   speed up training;
                C   this implemented 3D convolutions are all in full slices space;
            2   use group convolution to implement thick slice convolution to increase the network representation capability;
            3   Use ResNeXt-based module like Paper "Aggregated Residual Transformations for Deep Neural Networks " 
                (Link: http://openaccess.thecvf.com/content_cvpr_2017/html/Xie_Aggregated_Residual_Transformations_CVPR_2017_paper.html);
            4   use rich 2D affine transforms slice by slice and concatenate them to implement 3D data augmentation;
            5   20% data for independent test, remaining 80% data for 4-fold cross validation;
            6   add lossweight to adjust positive samples to 3/7 posweight in BCEWithLogitsLoss;
            
            Update:
            1    reduced network parameters to 3.14 million in July 27th, 2019, 0840am
            2    at 15:00 of July 27th, 2019, reduce network parameter again. Now each stage has 160 filters, with 1.235 million parameters
            3    keep 2) parameter, change all maxpooling into average pooling.
            4    At July 29th 09:37am, 2019, reduce filters to 96 to further reduce parameters, keep avgPool.
            5    at July 29th 11:25am, 2019,  reduce filter number to 48, and redue one stage
            6    at July 29th 12:41, 2019:
                    add GPUID in command line;
                    use SGD optimizer, instead of Adam
                    add numbers of filters along deeper layer with step 12.
                    add saveDir's tims stamp;
            7    at July 29th 15:18, 2019,
                    change learning rate step_size = 5 from 10;
                    before FC, we use conv2d
                    learning rate start at 0.5.
            8    at July 30th 03:00, 2019:
                    add learning rate print;
                    use convStride =2;
                    add filter number by 2 times along deeper layers.
            9    at July 30th, 10:13, 2019:
                    add MaxPool2d in stage1;
                    add final filters to 2048.
                                            
                    
            
            
Discarded changes:                  
                  

Experiment setting:
Input CT data: maximum size 140*251*251 (zyx) of 3D numpy array with spacing size(5*2*2)
Ground truth: response binary label

Predictive Model: 

response Loss Function:  BCELogitLoss

Data:   training data has 169 patients 

Training strategy: 

          

Program starting Time: 2019-07-30 10:28:40.298587
Info: netPath = /home/hxie1/temp_netParameters/OvarianCancer/ResNeXtAtten/20190730_102840

Info: this is the 0th fold leave for test in the 4-fold cross-validation, with 20.0% of data for independent test.

Infor: In all data of 169 files, label 0 has 51 files,
	  and label 1 has 118 files, where positive response rate = 0.6982248520710059 in full data
Infor: the independent test set has 34 files,and Training including validation Set has 135 files which will be divided into 4 folds.
In the independent test set of 34 files, 0 has 10, 1 has 24, the rate of 1s is 0.7058823529411765
In this test_0 dataset, total 34 files, where 1 has 24 with rate of 0.7058823529411765
In this train_0 dataset, total 100 files, where 1 has 70 with rate of 0.7
In this validation_0 dataset, total 35 files, where 1 has 24 with rate of 0.6857142857142857
=== Network trains from scratch ====
Network has total 294,823,412 parameters.
Loss Functions List: BCEWithLogitsLoss with weight of 1; 

Hints: Optimal_Result = Yes = 1,  Optimal_Result = No = 0 

Epoch	LearningRate		TrLoss	Accura	TPR_r	TNR_r		VaLoss	Accura	TPR_r	TNR_r		TeLoss	Accura	TPR_r	TNR_r
125	5.4036e-03		0.4138	0.6600	0.8714	0.1667		0.4357	0.6286	0.9167	0.0000		0.3761	0.7353	0.9167	0.3000
130	5.1334e-03		0.4116	0.3100	0.0143	1.0000		0.4256	0.3143	0.0000	1.0000		0.3857	0.2941	0.0000	1.0000
135	5.1334e-03		0.4076	0.6500	0.8429	0.2000		0.4243	0.6286	0.9167	0.0000		0.3897	0.7647	0.9167	0.4000
140	4.8767e-03		0.4160	0.6600	0.8571	0.2000		0.4243	0.6571	0.9583	0.0000		0.3760	0.7353	0.9167	0.3000
145	4.8767e-03		0.4197	0.6500	0.8286	0.2333		0.4291	0.6571	0.9583	0.0000		0.3701	0.7353	0.9167	0.3000
150	4.6329e-03		0.4099	0.6700	0.8286	0.3000		0.4495	0.5429	0.7083	0.1818		0.3861	0.5882	0.6667	0.4000
155	4.6329e-03		0.4059	0.6700	0.8571	0.2333		0.4225	0.6857	1.0000	0.0000		0.3798	0.7353	0.9583	0.2000
160	4.4013e-03		0.4184	0.6900	0.8571	0.3000		0.4335	0.6571	0.9583	0.0000		0.3577	0.7941	0.9583	0.4000
165	4.4013e-03		0.4121	0.6400	0.7429	0.4000		0.4193	0.6286	0.8750	0.0909		0.3769	0.7647	0.9167	0.4000
170	4.1812e-03		0.4004	0.6900	0.9000	0.2000		0.4242	0.6571	0.9583	0.0000		0.3933	0.7647	0.9583	0.3000
175	4.1812e-03		0.3988	0.6800	0.8714	0.2333		0.4387	0.6571	0.9583	0.0000		0.3662	0.7353	0.9167	0.3000
180	3.9721e-03		0.4007	0.6900	0.8286	0.3667		0.4292	0.6000	0.8750	0.0000		0.3630	0.7353	0.8750	0.4000
185	3.9721e-03		0.4099	0.6500	0.7857	0.3333		0.4213	0.6286	0.9167	0.0000		0.3711	0.7647	0.9167	0.4000
190	3.7735e-03		0.4175	0.6700	0.8429	0.2667		0.4193	0.6857	1.0000	0.0000		0.3809	0.7941	0.9583	0.4000
195	3.7735e-03		0.4175	0.6500	0.8143	0.2667		0.4215	0.6571	0.9583	0.0000		0.3760	0.7941	0.9583	0.4000
200	3.5849e-03		0.3617	0.7600	0.9143	0.4000		0.4472	0.6857	1.0000	0.0000		0.3525	0.7941	0.9583	0.4000
205	3.5849e-03		0.4172	0.6300	0.7857	0.2667		0.4202	0.6571	0.9583	0.0000		0.3706	0.7941	0.9583	0.4000
210	3.4056e-03		0.4297	0.6700	0.8857	0.1667		0.4383	0.6000	0.8333	0.0909		0.3510	0.7941	0.9583	0.4000
215	3.4056e-03		0.3934	0.7000	0.8714	0.3000		0.4511	0.6857	1.0000	0.0000		0.3700	0.7647	0.9583	0.3000
220	3.2353e-03		0.4024	0.6700	0.8143	0.3333		0.4285	0.6571	0.9583	0.0000		0.3793	0.7647	0.9583	0.3000
225	3.2353e-03		0.4078	0.7500	0.9143	0.3667		0.4395	0.6000	0.7917	0.1818		0.3695	0.6765	0.7500	0.5000
230	3.0736e-03		0.3918	0.7400	0.8857	0.4000		0.4389	0.6286	0.9167	0.0000		0.3847	0.7059	0.8750	0.3000
235	3.0736e-03		0.3904	0.7000	0.7857	0.5000		0.4165	0.6000	0.7500	0.2727		0.3858	0.5588	0.5833	0.5000
240	2.9199e-03		0.3957	0.6500	0.7429	0.4333		0.4412	0.5714	0.7500	0.1818		0.3691	0.5882	0.6667	0.4000
245	2.9199e-03		0.3871	0.7000	0.7714	0.5333		0.4393	0.4857	0.7083	0.0000		0.3780	0.6471	0.7500	0.4000
250	2.7739e-03		0.4194	0.7000	0.8143	0.4333		0.4364	0.6857	1.0000	0.0000		0.3719	0.7353	0.8750	0.4000
255	2.7739e-03		0.3875	0.7200	0.8143	0.5000		0.4445	0.6286	0.8333	0.1818		0.3793	0.6471	0.7500	0.4000
260	2.6352e-03		0.3921	0.6700	0.7429	0.5000		0.4151	0.6571	0.7083	0.5455		0.3595	0.5588	0.5833	0.5000
265	2.6352e-03		0.4240	0.6800	0.7857	0.4333		0.4290	0.6000	0.7500	0.2727		0.3408	0.6471	0.7083	0.5000
270	2.5034e-03		0.3872	0.7000	0.8286	0.4000		0.4507	0.5429	0.7500	0.0909		0.3286	0.7353	0.8333	0.5000
275	2.5034e-03		0.4488	0.6500	0.7429	0.4333		0.4301	0.6000	0.7500	0.2727		0.3324	0.7059	0.7500	0.6000
280	2.3783e-03		0.3526	0.8200	0.9429	0.5333		0.4568	0.6286	0.9167	0.0000		0.3454	0.8235	0.9583	0.5000
285	2.3783e-03		0.4032	0.7300	0.8286	0.5000		0.4860	0.5429	0.7500	0.0909		0.3785	0.6471	0.7083	0.5000
290	2.2594e-03		0.3625	0.7400	0.8143	0.5667		0.4596	0.5714	0.8333	0.0000		0.3301	0.7353	0.8333	0.5000
295	2.2594e-03		0.3656	0.7600	0.8429	0.5667		0.4611	0.6571	0.9583	0.0000		0.3659	0.7941	1.0000	0.3000
300	2.1464e-03		0.3523	0.7600	0.8571	0.5333		0.4525	0.6571	0.9583	0.0000		0.3693	0.7647	0.9583	0.3000
305	2.1464e-03		0.3123	0.8000	0.8714	0.6333		0.4033	0.6857	0.7917	0.4545		0.3373	0.7059	0.7917	0.5000
310	2.0391e-03		0.4328	0.7700	0.8857	0.5000		0.4804	0.6571	0.9583	0.0000		0.4416	0.7059	1.0000	0.0000
315	2.0391e-03		0.2953	0.8200	0.9143	0.6000		0.5333	0.6000	0.8750	0.0000		0.4187	0.7353	1.0000	0.1000
320	1.9371e-03		0.3599	0.7500	0.8571	0.5000		0.4258	0.7143	0.9167	0.2727		0.3468	0.7353	0.8750	0.4000
325	1.9371e-03		0.3359	0.7500	0.8429	0.5333		0.4543	0.6571	0.9583	0.0000		0.3571	0.8235	1.0000	0.4000
330	1.8403e-03		0.3489	0.7300	0.8429	0.4667		0.4329	0.6286	0.8333	0.1818		0.3970	0.6176	0.7083	0.4000
335	1.8403e-03		0.2751	0.8500	0.9143	0.7000		0.5184	0.6571	0.9583	0.0000		0.4082	0.7647	1.0000	0.2000
340	1.7482e-03		0.3559	0.7400	0.8429	0.5000		0.5006	0.6286	0.8333	0.1818		0.3865	0.7353	0.9583	0.2000
345	1.7482e-03		0.3010	0.7800	0.8857	0.5333		0.5153	0.6286	0.7917	0.2727		0.4084	0.7353	0.8750	0.4000
350	1.6608e-03		0.3393	0.7600	0.8429	0.5667		0.5443	0.6571	0.9167	0.0909		0.4028	0.7353	0.9583	0.2000
355	1.6608e-03		0.3203	0.7800	0.8714	0.5667		0.5787	0.6571	0.9583	0.0000		0.5006	0.7059	1.0000	0.0000
360	1.5778e-03		0.2966	0.8300	0.9429	0.5667		0.5663	0.6571	0.9583	0.0000		0.4327	0.7353	1.0000	0.1000
365	1.5778e-03		0.3122	0.8500	0.9429	0.6333		0.6072	0.6857	0.9167	0.1818		0.5026	0.7353	1.0000	0.1000
370	1.4989e-03		0.2657	0.8400	0.8571	0.8000		0.7834	0.6286	0.9167	0.0000		0.5744	0.7059	0.9583	0.1000
375	1.4989e-03		0.3670	0.7300	0.7143	0.7667		0.4560	0.6286	0.7083	0.4545		0.5876	0.5588	0.6250	0.4000
380	1.4240e-03		0.2679	0.8600	0.9000	0.7667		0.6272	0.6857	0.8333	0.3636		0.4567	0.7059	0.7500	0.6000
385	1.4240e-03		0.2439	0.8800	0.9286	0.7667		0.7035	0.6571	0.8333	0.2727		0.6047	0.6176	0.7083	0.4000
390	1.3528e-03		0.1824	0.9200	0.9286	0.9000		0.8836	0.6571	0.9583	0.0000		0.6371	0.7647	1.0000	0.2000
395	1.3528e-03		0.2961	0.8500	0.8571	0.8333		0.7556	0.4571	0.5000	0.3636		0.8447	0.5294	0.5417	0.5000
400	1.2851e-03		0.1722	0.8900	0.9286	0.8000		0.8306	0.6571	0.9583	0.0000		0.5515	0.7647	0.9583	0.3000
405	1.2851e-03		0.3704	0.7000	0.6714	0.7667		0.4988	0.6571	0.9583	0.0000		0.4111	0.7353	0.8750	0.4000
410	1.2209e-03		0.2832	0.8200	0.8857	0.6667		0.5946	0.6286	0.9167	0.0000		0.5133	0.7353	0.9583	0.2000
415	1.2209e-03		0.2994	0.7400	0.7857	0.6333		0.6045	0.6857	0.8750	0.2727		0.5582	0.6176	0.6667	0.5000
420	1.1598e-03		0.2248	0.8900	0.8857	0.9000		0.6871	0.6000	0.7083	0.3636		0.7289	0.6176	0.6667	0.5000
425	1.1598e-03		0.2289	0.8700	0.9286	0.7333		0.8355	0.4000	0.3750	0.4545		1.2596	0.4412	0.4583	0.4000
430	1.1018e-03		0.1765	0.8800	0.8714	0.9000		0.5965	0.6857	0.8333	0.3636		0.6092	0.7941	0.9167	0.5000
435	1.1018e-03		0.2184	0.8000	0.8143	0.7667		0.7602	0.6857	0.9167	0.1818		0.8250	0.6765	0.8750	0.2000
440	1.0467e-03		0.1474	0.9000	0.9000	0.9000		0.5432	0.6571	0.7917	0.3636		0.8274	0.5588	0.5417	0.6000
445	1.0467e-03		0.1720	0.9200	0.9429	0.8667		0.7788	0.6857	0.8750	0.2727		0.9406	0.7353	0.8333	0.5000
450	9.9440e-04		0.1445	0.9200	0.9286	0.9000		1.1103	0.7143	0.9583	0.1818		1.0656	0.6765	0.8750	0.2000
455	9.9440e-04		0.2304	0.8700	0.8857	0.8333		0.9503	0.7429	0.9583	0.2727		0.8439	0.7059	0.7917	0.5000
460	9.4468e-04		0.2441	0.8300	0.8571	0.7667		0.9485	0.6571	0.8750	0.1818		1.0402	0.6765	0.7917	0.4000
465	9.4468e-04		0.2422	0.8600	0.8714	0.8333		1.0559	0.7143	0.9583	0.1818		1.2951	0.5882	0.8333	0.0000
470	8.9745e-04		0.1994	0.8700	0.8714	0.8667		0.9692	0.7143	0.9167	0.2727		1.1094	0.6765	0.7917	0.4000
475	8.9745e-04		0.1051	0.9600	0.9714	0.9333		1.0500	0.7143	0.9583	0.1818		1.1047	0.6765	0.9583	0.0000
480	8.5258e-04		0.1389	0.9200	0.9143	0.9333		0.8919	0.6571	0.8333	0.2727		1.3677	0.6176	0.7083	0.4000
485	8.5258e-04		0.2022	0.8300	0.8286	0.8333		1.0396	0.6857	0.8333	0.3636		1.1695	0.6471	0.7083	0.5000
490	8.0995e-04		0.1698	0.8900	0.8571	0.9667		1.5317	0.7143	0.9583	0.1818		1.3546	0.6471	0.8333	0.2000
495	8.0995e-04		0.1944	0.9100	0.9286	0.8667		1.0041	0.7143	0.9167	0.2727		1.2805	0.6176	0.7083	0.4000
500	7.6945e-04		0.1190	0.9500	0.9571	0.9333		1.2125	0.7143	0.9167	0.2727		1.3305	0.6176	0.7083	0.4000
505	7.6945e-04		0.0967	0.8900	0.8571	0.9667		1.6129	0.7143	0.9583	0.1818		1.4923	0.6765	0.9583	0.0000
510	7.3098e-04		0.2714	0.9000	0.9143	0.8667		1.1835	0.6857	0.8750	0.2727		1.4196	0.6176	0.7083	0.4000
515	7.3098e-04		0.1155	0.9200	0.9143	0.9333		1.2634	0.6857	0.9167	0.1818		1.2817	0.6471	0.7917	0.3000
520	6.9443e-04		0.1836	0.8700	0.8571	0.9000		1.0880	0.3143	0.2917	0.3636		1.2127	0.4118	0.2917	0.7000
525	6.9443e-04		0.1071	0.9200	0.9143	0.9333		1.1159	0.7143	0.8750	0.3636		1.1265	0.6765	0.7083	0.6000
530	6.5971e-04		0.1377	0.8700	0.8286	0.9667		1.2628	0.6571	0.8750	0.1818		1.2618	0.5882	0.7917	0.1000
535	6.5971e-04		0.1683	0.9000	0.9286	0.8333		1.1062	0.6857	0.8750	0.2727		1.3257	0.6176	0.6667	0.5000
540	6.2672e-04		0.1119	0.9400	0.9571	0.9000		1.1435	0.7143	0.8750	0.3636		1.1881	0.6176	0.7917	0.2000
545	6.2672e-04		0.1163	0.9100	0.9143	0.9000		1.6892	0.6857	0.9167	0.1818		1.7123	0.6765	0.9167	0.1000
550	5.9539e-04		0.1422	0.8900	0.8571	0.9667		1.3185	0.6857	0.9167	0.1818		1.4395	0.5882	0.8333	0.0000
555	5.9539e-04		0.1245	0.9300	0.9714	0.8333		1.1163	0.6857	0.9167	0.1818		1.3342	0.6176	0.7083	0.4000
560	5.6562e-04		0.1901	0.8800	0.8714	0.9000		1.1785	0.7143	0.8750	0.3636		1.2583	0.6765	0.7083	0.6000
565	5.6562e-04		0.1448	0.9100	0.9286	0.8667		1.7129	0.7143	0.9583	0.1818		1.7358	0.7059	0.9583	0.1000
570	5.3734e-04		0.1227	0.9200	0.9000	0.9667		1.7629	0.6857	0.9583	0.0909		1.5692	0.6765	0.9167	0.1000
575	5.3734e-04		0.0956	0.9400	0.9571	0.9000		1.1833	0.6571	0.8750	0.1818		1.2888	0.6471	0.7500	0.4000
580	5.1047e-04		0.2089	0.8900	0.8714	0.9333		1.6950	0.7143	0.9583	0.1818		1.5654	0.6176	0.8750	0.0000
585	5.1047e-04		0.1311	0.9200	0.9286	0.9000		1.3280	0.7143	0.8750	0.3636		1.4105	0.6471	0.7500	0.4000
590	4.8495e-04		0.2245	0.9000	0.9143	0.8667		1.3489	0.6857	0.8750	0.2727		1.5274	0.6471	0.7500	0.4000
595	4.8495e-04		0.1677	0.8400	0.8000	0.9333		1.1990	0.6571	0.8750	0.1818		1.4084	0.6176	0.8333	0.1000
600	4.6070e-04		0.1910	0.9400	0.9714	0.8667		1.7270	0.6857	0.9167	0.1818		1.3282	0.6765	0.9167	0.1000
605	4.6070e-04		0.1001	0.9200	0.9000	0.9667		1.5298	0.7143	0.9167	0.2727		1.2157	0.6471	0.7083	0.5000
610	4.3766e-04		0.1387	0.9100	0.8857	0.9667		1.6132	0.7143	0.9167	0.2727		1.7292	0.6471	0.7917	0.3000
615	4.3766e-04		0.1125	0.9100	0.9000	0.9333		1.6834	0.6857	0.9167	0.1818		1.4743	0.6176	0.7500	0.3000
620	4.1578e-04		0.0976	0.9300	0.9286	0.9333		1.6727	0.6857	0.9167	0.1818		1.7250	0.6471	0.8333	0.2000
625	4.1578e-04		0.0820	0.9300	0.9143	0.9667		1.5993	0.6857	0.8750	0.2727		1.5656	0.5882	0.7083	0.3000
630	3.9499e-04		0.0773	0.9600	0.9429	1.0000		1.5526	0.6857	0.8750	0.2727		1.5784	0.6471	0.7083	0.5000
635	3.9499e-04		0.1048	0.9400	0.9286	0.9667		1.6678	0.6857	0.8750	0.2727		1.7861	0.6471	0.7500	0.4000
640	3.7524e-04		0.0905	0.9200	0.9143	0.9333		1.4706	0.7143	0.8750	0.3636		1.7829	0.6471	0.7083	0.5000
645	3.7524e-04		0.0758	0.9600	0.9714	0.9333		1.3838	0.6286	0.7917	0.2727		1.7658	0.5588	0.6667	0.3000
650	3.5648e-04		0.0755	0.9400	0.9286	0.9667		1.7729	0.6571	0.8750	0.1818		1.6239	0.6471	0.7500	0.4000
655	3.5648e-04		0.1128	0.9200	0.9286	0.9000		1.7469	0.6857	0.9167	0.1818		1.5777	0.6471	0.7500	0.4000
660	3.3866e-04		0.2425	0.8500	0.8286	0.9000		1.5868	0.7143	0.9583	0.1818		2.6330	0.6471	0.9167	0.0000
665	3.3866e-04		0.0781	0.9700	0.9571	1.0000		1.7520	0.6571	0.8750	0.1818		1.6186	0.6176	0.7917	0.2000
670	3.2172e-04		0.1432	0.9000	0.9000	0.9000		1.5755	0.6571	0.8750	0.1818		1.5866	0.5588	0.7083	0.2000
675	3.2172e-04		0.0781	0.9500	0.9286	1.0000		1.8579	0.7143	0.9167	0.2727		1.6420	0.5882	0.7083	0.3000
680	3.0564e-04		0.0756	0.9600	0.9429	1.0000		2.0169	0.6857	0.9167	0.1818		1.7580	0.5882	0.8333	0.0000
685	3.0564e-04		0.1034	0.9000	0.8857	0.9333		1.6584	0.6571	0.8750	0.1818		1.5714	0.5882	0.7500	0.2000
690	2.9035e-04		0.0855	0.9400	0.9571	0.9000		1.8271	0.6857	0.8750	0.2727		1.7925	0.5882	0.7083	0.3000
695	2.9035e-04		0.1055	0.9100	0.9000	0.9333		1.8738	0.6571	0.8333	0.2727		1.7733	0.5882	0.7083	0.3000
700	2.7584e-04		0.0535	0.9600	0.9714	0.9333		1.8568	0.6857	0.9167	0.1818		1.6985	0.6176	0.7917	0.2000
705	2.7584e-04		0.1273	0.9000	0.8857	0.9333		1.6921	0.7143	0.8750	0.3636		1.4405	0.6176	0.7083	0.4000
710	2.6205e-04		0.0684	0.9600	0.9571	0.9667		1.6526	0.6571	0.8750	0.1818		1.6830	0.6176	0.8333	0.1000
715	2.6205e-04		0.1262	0.9100	0.9286	0.8667		1.7800	0.6571	0.8750	0.1818		1.8922	0.6176	0.7500	0.3000
720	2.4894e-04		0.1632	0.9300	0.9429	0.9000		1.6960	0.6571	0.8750	0.1818		1.5461	0.6765	0.7500	0.5000
725	2.4894e-04		0.0477	0.9700	0.9571	1.0000		1.8480	0.6571	0.8750	0.1818		1.7278	0.6471	0.8333	0.2000
730	2.3650e-04		0.0979	0.9300	0.9143	0.9667		1.7918	0.6571	0.8750	0.1818		1.6970	0.6471	0.7500	0.4000
735	2.3650e-04		0.0816	0.9300	0.9286	0.9333		1.9435	0.6571	0.8750	0.1818		1.9204	0.6176	0.7500	0.3000
740	2.2467e-04		0.0473	0.9700	0.9714	0.9667		2.1737	0.6571	0.8750	0.1818		1.7518	0.6176	0.8333	0.1000
