Program ID: 19729

Program command: 
 ['TrainResAttentionNet.py', '/home/hxie1/temp_netParameters/OvarianCancer/ResNeXtAtten', '/home/hxie1/data/OvarianCancerCT/Extract_ps2_2_5/images_npy', '/home/hxie1/data/OvarianCancerCT/patientResponseDict.json', '0']

Major program changes: 
            ResNeXt-based Attention Net: use 2D network to implement 3D convolution without losing 3D context information. 
            0   the input is a 3D full volume without any cropping; 
            1   Use slices as features channels in convolutions,  and use 1*1 convolution along slices direction to implement z direction convolution followed by 3*3 convolutino inside slice planes;
                It just uses three cascading 2D convolutions (first z, then xy, and z direction again) to implement 3D convolution, like in the paper of ResNeXt below.
                The benefits of this design:
                A   reduce network parameters, hoping to reducing overfitting;
                B   speed up training;
                C   this implemented 3D convolutions are all in full slices space;
            2   use group convolution to implement thick slice convolution to increase the network representation capability;
            3   Use ResNeXt-based module like Paper "Aggregated Residual Transformations for Deep Neural Networks " 
                (Link: http://openaccess.thecvf.com/content_cvpr_2017/html/Xie_Aggregated_Residual_Transformations_CVPR_2017_paper.html);
            4   use rich 2D affine transforms slice by slice and concatenate them to implement 3D data augmentation;
            5   20% data for independent test, remaining 80% data for 4-fold cross validation;
            6   add lossweight to adjust positive samples to 3/7 posweight in BCEWithLogitsLoss;
            
            Update:
            1    reduced network parameters in July 27th, 2019
Discarded changes:                  
                  

Experiment setting:
Input CT data: maximum size 140*251*251 (zyx) of 3D numpy array with spacing size(5*2*2)
Ground truth: response binary label

Predictive Model: 

response Loss Function:  BCELogitLoss

Data:   training data has 169 patients 

Training strategy: 

          

Program starting Time: 2019-07-27 08:40:52.701738
Info: netPath = /home/hxie1/temp_netParameters/OvarianCancer/ResNeXtAtten

Info: this is the 0th fold leave for test in the 4-fold cross-validation, with 20.0% of data for independent test.

Infor: In all data of 169 files, label 0 has 51 files,
	  and label 1 has 118 files, where positive response rate = 0.6982248520710059 in full data
Infor: the independent test set has 34 files,and Training including validation Set has 135 files which will be divided into 4 folds.
In the independent test set of 34 files, 0 has 10, 1 has 24, the rate of 1s is 0.7058823529411765
In this test_0 dataset, total 34 files, where 1 has 24 with rate of 0.7058823529411765
In this train_0 dataset, total 100 files, where 1 has 70 with rate of 0.7
In this validation_0 dataset, total 35 files, where 1 has 24 with rate of 0.6857142857142857
=== Network trains from scratch ====
Network has total 3,140,020 parameters.
Info: program will use 2 GPUs.
Loss Functions List: BCEWithLogitsLoss with weight of 1; 

Hints: Optimal_Result = Yes = 1,  Optimal_Result = No = 0 

Epoch	TrLoss	Accura	TPR_r	TNR_r		VaLoss	Accura	TPR_r	TNR_r		TeLoss	Accura	TPR_r	TNR_r
170	0.1512	0.9500	0.9571	0.9333		0.7549	0.6857	0.8333	0.3636		0.5984	0.7059	0.7917	0.5000
175	0.1355	0.9200	0.9000	0.9667		0.6925	0.6571	0.7917	0.3636		0.5672	0.7059	0.7917	0.5000
180	0.1498	0.9400	0.9429	0.9333		0.7893	0.6857	0.8333	0.3636		0.6285	0.7059	0.7917	0.5000
185	0.1211	0.9100	0.9000	0.9333		0.6894	0.6857	0.7917	0.4545		0.5901	0.6765	0.7500	0.5000
190	0.1927	0.9000	0.8857	0.9333		0.7439	0.6571	0.7917	0.3636		0.6227	0.7059	0.7917	0.5000
195	0.0838	0.9600	0.9571	0.9667		0.7131	0.6571	0.7917	0.3636		0.5792	0.6765	0.7500	0.5000
200	0.1490	0.9300	0.9143	0.9667		0.6577	0.6571	0.7917	0.3636		0.5484	0.6765	0.7500	0.5000
205	0.1630	0.9200	0.9143	0.9333		0.7995	0.6857	0.7917	0.4545		0.6620	0.6765	0.7500	0.5000
210	0.1557	0.9200	0.9000	0.9667		0.7534	0.6857	0.8333	0.3636		0.6095	0.7059	0.7917	0.5000
215	0.1602	0.9300	0.9286	0.9333		0.7118	0.6571	0.7917	0.3636		0.5704	0.7059	0.7917	0.5000
220	0.0898	0.9400	0.9429	0.9333		0.7459	0.6571	0.7917	0.3636		0.6051	0.7059	0.7917	0.5000
225	0.1260	0.9700	0.9714	0.9667		0.8283	0.6286	0.7917	0.2727		0.7226	0.6471	0.7083	0.5000
230	0.1914	0.9400	0.9429	0.9333		0.7275	0.6857	0.7917	0.4545		0.5957	0.6765	0.7500	0.5000
235	0.0966	0.9500	0.9571	0.9333		0.7486	0.6857	0.7917	0.4545		0.5975	0.6765	0.7500	0.5000
240	0.1372	0.9600	0.9714	0.9333		0.7162	0.6857	0.7917	0.4545		0.5982	0.6471	0.7083	0.5000
245	0.0640	0.9800	0.9714	1.0000		0.7146	0.6857	0.7917	0.4545		0.6030	0.6765	0.7500	0.5000
250	0.1692	0.9400	0.9429	0.9333		0.6942	0.6857	0.7917	0.4545		0.5685	0.6765	0.7500	0.5000
255	0.1392	0.9600	0.9714	0.9333		0.7903	0.6571	0.7917	0.3636		0.6216	0.6765	0.7500	0.5000
260	0.1278	0.9500	0.9429	0.9667		0.7397	0.6857	0.7917	0.4545		0.5864	0.7059	0.7500	0.6000
265	0.0830	0.9600	0.9571	0.9667		0.7693	0.6857	0.7917	0.4545		0.6596	0.5882	0.6250	0.5000
270	0.1004	0.9600	0.9571	0.9667		0.7165	0.6857	0.7917	0.4545		0.5923	0.6765	0.7500	0.5000
275	0.1424	0.9100	0.9143	0.9000		0.7436	0.6571	0.7917	0.3636		0.5879	0.7059	0.7917	0.5000
280	0.1145	0.9700	0.9857	0.9333		0.7650	0.6571	0.7917	0.3636		0.5833	0.7647	0.8750	0.5000
285	0.1648	0.9100	0.9000	0.9333		0.7651	0.6857	0.7917	0.4545		0.6829	0.6471	0.7083	0.5000
290	0.1472	0.9300	0.9286	0.9333		0.7679	0.6857	0.7917	0.4545		0.6404	0.6765	0.7500	0.5000
295	0.1498	0.9400	0.9429	0.9333		0.7344	0.6857	0.7917	0.4545		0.6254	0.6765	0.7500	0.5000
300	0.2067	0.9400	0.9429	0.9333		0.8066	0.6857	0.7917	0.4545		0.7130	0.6765	0.7500	0.5000
305	0.1403	0.9500	0.9571	0.9333		0.7220	0.6857	0.7917	0.4545		0.5955	0.6765	0.7500	0.5000
310	0.1240	0.9300	0.9143	0.9667		0.7578	0.6857	0.7917	0.4545		0.6423	0.6765	0.7500	0.5000
315	0.1401	0.9500	0.9571	0.9333		0.7691	0.6857	0.8333	0.3636		0.6021	0.7059	0.8333	0.4000
320	0.1784	0.9200	0.9286	0.9000		0.7541	0.6571	0.7917	0.3636		0.6164	0.7059	0.7917	0.5000
325	0.1014	0.9600	0.9571	0.9667		0.7658	0.6857	0.7917	0.4545		0.6489	0.6765	0.7500	0.5000
330	0.0727	0.9800	0.9714	1.0000		0.6573	0.6571	0.7917	0.3636		0.5395	0.6765	0.7500	0.5000
335	0.2032	0.9000	0.9286	0.8333		0.7844	0.6857	0.7917	0.4545		0.6784	0.6765	0.7500	0.5000
340	0.1023	0.9200	0.9000	0.9667		0.7254	0.6571	0.7917	0.3636		0.5528	0.7059	0.7917	0.5000
345	0.1795	0.9600	0.9714	0.9333		0.7121	0.6857	0.7917	0.4545		0.6136	0.6765	0.7500	0.5000
350	0.1051	0.9600	0.9429	1.0000		0.7598	0.6571	0.7917	0.3636		0.6057	0.6765	0.7500	0.5000
355	0.0949	0.9500	0.9429	0.9667		0.7385	0.6571	0.7500	0.4545		0.6559	0.6176	0.6250	0.6000
360	0.0746	0.9700	0.9714	0.9667		0.7440	0.6857	0.7917	0.4545		0.6384	0.6765	0.7500	0.5000
365	0.1854	0.9400	0.9571	0.9000		0.7645	0.6571	0.7917	0.3636		0.5730	0.7059	0.7917	0.5000
370	0.1684	0.9400	0.9429	0.9333		0.7617	0.6857	0.7917	0.4545		0.6702	0.6765	0.7500	0.5000
375	0.1347	0.9000	0.8857	0.9333		0.7349	0.6571	0.7917	0.3636		0.6217	0.6765	0.7500	0.5000
380	0.0970	0.9600	0.9571	0.9667		0.7255	0.6857	0.7917	0.4545		0.6132	0.6765	0.7500	0.5000
385	0.1769	0.9400	0.9571	0.9000		0.6744	0.6857	0.7917	0.4545		0.6519	0.6176	0.6667	0.5000
390	0.0862	0.9800	0.9714	1.0000		0.7162	0.6857	0.7917	0.4545		0.5947	0.6765	0.7500	0.5000
395	0.1799	0.9000	0.9143	0.8667		0.7243	0.6571	0.7917	0.3636		0.6043	0.7647	0.8750	0.5000
400	0.1783	0.9200	0.9143	0.9333		0.7325	0.6571	0.7917	0.3636		0.5615	0.7353	0.8333	0.5000
405	0.1548	0.9200	0.9000	0.9667		0.7961	0.6571	0.7917	0.3636		0.6539	0.7059	0.7917	0.5000
410	0.1678	0.9200	0.9143	0.9333		0.6948	0.6571	0.7917	0.3636		0.6109	0.6765	0.7500	0.5000
415	0.1864	0.9000	0.9000	0.9000		0.7829	0.6286	0.7083	0.4545		0.6883	0.6176	0.6250	0.6000
420	0.1268	0.9400	0.9286	0.9667		0.7361	0.6857	0.7917	0.4545		0.6143	0.6765	0.7500	0.5000
425	0.0942	0.9300	0.9143	0.9667		0.7483	0.6857	0.7917	0.4545		0.5973	0.6765	0.7500	0.5000
430	0.1347	0.9200	0.9143	0.9333		0.7814	0.6571	0.7917	0.3636		0.6274	0.7059	0.7917	0.5000
435	0.1150	0.9400	0.9286	0.9667		0.7424	0.6571	0.7917	0.3636		0.6201	0.6765	0.7500	0.5000
440	0.0857	0.9600	0.9571	0.9667		0.7493	0.6857	0.7917	0.4545		0.6571	0.6765	0.7500	0.5000
445	0.1292	0.9600	0.9571	0.9667		0.7426	0.6857	0.7917	0.4545		0.6455	0.6765	0.7500	0.5000
450	0.1664	0.9300	0.9286	0.9333		0.7815	0.6571	0.7500	0.4545		0.7210	0.6176	0.6667	0.5000
455	0.1610	0.9100	0.9143	0.9000		0.7340	0.6571	0.7917	0.3636		0.6314	0.6765	0.7500	0.5000
460	0.0679	0.9800	0.9714	1.0000		0.7318	0.6571	0.7917	0.3636		0.6059	0.6765	0.7500	0.5000
465	0.2549	0.8400	0.8286	0.8667		0.7916	0.6571	0.7917	0.3636		0.6289	0.7059	0.7917	0.5000
470	0.2221	0.8600	0.8571	0.8667		0.7738	0.6571	0.7917	0.3636		0.6125	0.7059	0.7917	0.5000
475	0.1199	0.9400	0.9429	0.9333		0.6971	0.6000	0.7500	0.2727		0.5668	0.6765	0.7500	0.5000
480	0.1130	0.9800	0.9857	0.9667		0.7093	0.6571	0.7917	0.3636		0.5642	0.6765	0.7500	0.5000
485	0.0943	0.9500	0.9429	0.9667		0.7915	0.6571	0.7917	0.3636		0.6564	0.6765	0.7500	0.5000
490	0.0791	0.9700	0.9571	1.0000		0.6941	0.6857	0.7917	0.4545		0.5755	0.6765	0.7500	0.5000
495	0.1284	0.9600	0.9571	0.9667		0.7690	0.6857	0.7917	0.4545		0.6209	0.6765	0.7500	0.5000
500	0.1236	0.9600	0.9571	0.9667		0.7142	0.6571	0.7917	0.3636		0.5693	0.7353	0.8333	0.5000
505	0.1819	0.9300	0.9429	0.9000		0.7831	0.6571	0.7917	0.3636		0.6149	0.7353	0.8333	0.5000
510	0.1507	0.9300	0.9143	0.9667		0.7096	0.6571	0.7917	0.3636		0.5954	0.6765	0.7500	0.5000
515	0.1440	0.9400	0.9571	0.9000		0.7587	0.6857	0.7917	0.4545		0.6280	0.6765	0.7500	0.5000
520	0.1144	0.9400	0.9286	0.9667		0.7250	0.6571	0.7917	0.3636		0.5750	0.7059	0.7917	0.5000
525	0.1218	0.9200	0.9143	0.9333		0.7282	0.6857	0.7917	0.4545		0.6214	0.6765	0.7500	0.5000
530	0.1154	0.9300	0.9000	1.0000		0.7248	0.6571	0.7917	0.3636		0.6163	0.6765	0.7500	0.5000
535	0.0969	0.9500	0.9429	0.9667		0.7062	0.6857	0.7917	0.4545		0.5856	0.6765	0.7500	0.5000
540	0.0835	0.9800	0.9714	1.0000		0.7720	0.6571	0.7917	0.3636		0.6232	0.7353	0.8333	0.5000
545	0.0892	0.9400	0.9286	0.9667		0.7206	0.6571	0.7917	0.3636		0.6132	0.6765	0.7500	0.5000
550	0.1235	0.9000	0.8857	0.9333		0.7139	0.7143	0.8333	0.4545		0.5888	0.7059	0.7917	0.5000
555	0.1773	0.9100	0.9143	0.9000		0.7798	0.6571	0.7917	0.3636		0.6562	0.6765	0.7500	0.5000
560	0.1054	0.9400	0.9286	0.9667		0.6845	0.6571	0.7917	0.3636		0.5655	0.7059	0.7917	0.5000
565	0.0754	0.9900	1.0000	0.9667		0.6785	0.6571	0.7917	0.3636		0.5798	0.7059	0.7917	0.5000
570	0.1096	0.9300	0.9143	0.9667		0.7080	0.6571	0.7917	0.3636		0.5800	0.7353	0.8333	0.5000
575	0.1292	0.9600	0.9714	0.9333		0.7707	0.6571	0.7917	0.3636		0.6243	0.6765	0.7500	0.5000
580	0.1011	0.9300	0.9143	0.9667		0.7238	0.6571	0.7917	0.3636		0.5896	0.7353	0.8333	0.5000
585	0.1376	0.9100	0.9000	0.9333		0.7577	0.6571	0.7917	0.3636		0.6257	0.6765	0.7500	0.5000
590	0.1298	0.9500	0.9429	0.9667		0.7280	0.6571	0.7917	0.3636		0.6210	0.6765	0.7500	0.5000
595	0.1062	0.9400	0.9143	1.0000		0.7212	0.7143	0.7917	0.5455		0.6542	0.6471	0.7083	0.5000
600	0.0779	0.9700	0.9571	1.0000		0.6840	0.6571	0.7917	0.3636		0.5871	0.6765	0.7500	0.5000
605	0.1937	0.9400	0.9571	0.9000		0.7337	0.6571	0.7917	0.3636		0.5826	0.6765	0.7500	0.5000
610	0.1795	0.9000	0.9000	0.9000		0.7295	0.6857	0.8333	0.3636		0.5596	0.7647	0.8750	0.5000
615	0.1554	0.9200	0.9000	0.9667		0.7143	0.6857	0.7917	0.4545		0.6275	0.6765	0.7500	0.5000
620	0.0970	0.9600	0.9429	1.0000		0.7633	0.6857	0.7917	0.4545		0.6286	0.6765	0.7500	0.5000
625	0.1483	0.9500	0.9429	0.9667		0.7689	0.6571	0.7917	0.3636		0.6143	0.7059	0.7917	0.5000
630	0.1540	0.8800	0.8429	0.9667		0.7455	0.6857	0.7917	0.4545		0.6511	0.6471	0.7083	0.5000
635	0.1609	0.9200	0.9429	0.8667		0.7419	0.6857	0.7917	0.4545		0.6332	0.6765	0.7500	0.5000
640	0.1537	0.9200	0.9000	0.9667		0.7827	0.6571	0.7917	0.3636		0.6489	0.6765	0.7500	0.5000
645	0.1778	0.9200	0.9143	0.9333		0.7622	0.6571	0.7917	0.3636		0.6308	0.6765	0.7500	0.5000
650	0.1733	0.9300	0.9286	0.9333		0.7592	0.6571	0.7917	0.3636		0.6430	0.6765	0.7500	0.5000
655	0.1179	0.9700	0.9714	0.9667		0.7397	0.6571	0.7917	0.3636		0.5830	0.6765	0.7500	0.5000
660	0.1230	0.9300	0.9000	1.0000		0.7349	0.6571	0.7500	0.4545		0.6646	0.6176	0.6667	0.5000
665	0.2375	0.8800	0.8857	0.8667		0.7650	0.6286	0.7500	0.3636		0.6480	0.6765	0.7500	0.5000
670	0.1160	0.9600	0.9571	0.9667		0.7099	0.6571	0.7917	0.3636		0.6039	0.6765	0.7500	0.5000
675	0.1665	0.9100	0.9000	0.9333		0.7815	0.6571	0.7917	0.3636		0.6432	0.7059	0.7917	0.5000
680	0.1865	0.9400	0.9429	0.9333		0.7556	0.6571	0.7917	0.3636		0.6221	0.6765	0.7500	0.5000
685	0.1694	0.9300	0.9286	0.9333		0.7515	0.6571	0.7917	0.3636		0.6628	0.6765	0.7500	0.5000
690	0.1535	0.9100	0.8857	0.9667		0.8664	0.6571	0.7917	0.3636		0.6937	0.7059	0.7917	0.5000
695	0.1140	0.9800	0.9857	0.9667		0.7538	0.6571	0.7917	0.3636		0.5874	0.7353	0.8333	0.5000
700	0.1896	0.9300	0.9429	0.9000		0.7537	0.6857	0.7917	0.4545		0.6039	0.7059	0.7917	0.5000
705	0.1036	0.9600	0.9571	0.9667		0.7186	0.6857	0.7917	0.4545		0.6355	0.6471	0.7083	0.5000
710	0.1857	0.9200	0.9286	0.9000		0.6993	0.6571	0.7917	0.3636		0.5560	0.6765	0.7500	0.5000
715	0.1144	0.9500	0.9429	0.9667		0.7244	0.6857	0.7917	0.4545		0.5975	0.6765	0.7500	0.5000
720	0.2035	0.9100	0.9429	0.8333		0.7738	0.6857	0.7917	0.4545		0.6152	0.6765	0.7500	0.5000
725	0.1177	0.9200	0.9286	0.9000		0.7596	0.6857	0.7917	0.4545		0.6343	0.6765	0.7500	0.5000
730	0.1563	0.9400	0.9429	0.9333		0.7658	0.6571	0.7917	0.3636		0.6096	0.7059	0.7917	0.5000
735	0.1727	0.9300	0.9571	0.8667		0.7462	0.6857	0.7917	0.4545		0.6491	0.6765	0.7500	0.5000
740	0.1672	0.8900	0.8714	0.9333		0.7349	0.6571	0.7917	0.3636		0.6044	0.7059	0.7917	0.5000
745	0.1034	0.9400	0.9429	0.9333		0.7588	0.6571	0.7917	0.3636		0.6053	0.7059	0.7917	0.5000
750	0.1619	0.9600	0.9857	0.9000		0.7172	0.6571	0.7917	0.3636		0.5964	0.6765	0.7500	0.5000
755	0.1088	0.9400	0.9286	0.9667		0.7617	0.6857	0.7917	0.4545		0.6522	0.6765	0.7500	0.5000
760	0.0768	0.9900	0.9857	1.0000		0.6909	0.6857	0.7917	0.4545		0.6059	0.6765	0.7500	0.5000
765	0.0914	0.9400	0.9429	0.9333		0.6817	0.6857	0.7917	0.4545		0.5864	0.6471	0.7083	0.5000
770	0.0937	0.9500	0.9571	0.9333		0.7704	0.6571	0.7917	0.3636		0.6232	0.6765	0.7500	0.5000
775	0.0978	0.9400	0.9286	0.9667		0.7125	0.6857	0.7917	0.4545		0.5892	0.6765	0.7500	0.5000
780	0.1175	0.9300	0.9143	0.9667		0.7565	0.6857	0.7917	0.4545		0.6442	0.6765	0.7500	0.5000
785	0.1436	0.9400	0.9286	0.9667		0.7388	0.6571	0.7917	0.3636		0.6097	0.6765	0.7500	0.5000
790	0.1338	0.9600	0.9571	0.9667		0.6795	0.6857	0.7917	0.4545		0.6005	0.6765	0.7500	0.5000
795	0.1213	0.9800	1.0000	0.9333		0.7663	0.6571	0.7917	0.3636		0.5786	0.7059	0.7917	0.5000
800	0.1319	0.9100	0.9143	0.9000		0.7330	0.6857	0.7917	0.4545		0.6252	0.6765	0.7500	0.5000
805	0.1371	0.9100	0.9000	0.9333		0.7449	0.6571	0.7917	0.3636		0.5951	0.7059	0.7917	0.5000
810	0.1435	0.9500	0.9429	0.9667		0.7444	0.6857	0.7917	0.4545		0.6624	0.6765	0.7500	0.5000
815	0.1191	0.9900	1.0000	0.9667		0.7438	0.6571	0.7917	0.3636		0.6192	0.7059	0.7917	0.5000
820	0.1278	0.9800	0.9857	0.9667		0.7434	0.6857	0.7917	0.4545		0.6208	0.6765	0.7500	0.5000
825	0.2040	0.9200	0.9286	0.9000		0.7470	0.6857	0.7917	0.4545		0.6370	0.6765	0.7500	0.5000
830	0.1900	0.9100	0.9143	0.9000		0.8053	0.6857	0.7917	0.4545		0.6759	0.6471	0.7083	0.5000
835	0.1346	0.9300	0.9429	0.9000		0.7874	0.6857	0.7917	0.4545		0.6373	0.6471	0.7083	0.5000
840	0.1330	0.9700	0.9714	0.9667		0.6836	0.6857	0.7917	0.4545		0.5746	0.6471	0.7083	0.5000
845	0.0753	0.9700	0.9571	1.0000		0.7471	0.6857	0.7917	0.4545		0.6110	0.6765	0.7500	0.5000
850	0.1038	0.9500	0.9571	0.9333		0.7351	0.6857	0.7917	0.4545		0.6566	0.6471	0.7083	0.5000
855	0.1196	0.9200	0.9143	0.9333		0.7576	0.6571	0.7083	0.5455		0.6407	0.6765	0.7500	0.5000
860	0.0824	0.9800	0.9857	0.9667		0.7516	0.6286	0.7083	0.4545		0.6752	0.6176	0.6250	0.6000
865	0.1960	0.9200	0.9143	0.9333		0.7650	0.6571	0.7917	0.3636		0.6301	0.7059	0.8333	0.4000
870	0.1574	0.9300	0.9286	0.9333		0.7420	0.6571	0.7917	0.3636		0.6024	0.6765	0.7500	0.5000
875	0.1476	0.9400	0.9429	0.9333		0.7636	0.6571	0.7917	0.3636		0.6278	0.7059	0.7917	0.5000
880	0.2021	0.9000	0.9000	0.9000		0.8242	0.6857	0.8333	0.3636		0.6552	0.7353	0.8333	0.5000
885	0.2078	0.8400	0.8714	0.7667		0.7650	0.6857	0.7917	0.4545		0.6239	0.6765	0.7500	0.5000
890	0.0839	0.9600	0.9714	0.9333		0.6897	0.7143	0.7917	0.5455		0.5769	0.6765	0.7500	0.5000
895	0.1803	0.8900	0.9000	0.8667		0.7876	0.6571	0.7917	0.3636		0.6614	0.6765	0.7500	0.5000
900	0.1232	0.9600	0.9571	0.9667		0.7356	0.6571	0.7917	0.3636		0.6129	0.6765	0.7500	0.5000
905	0.0840	0.9500	0.9429	0.9667		0.7666	0.6286	0.7500	0.3636		0.6675	0.6765	0.7500	0.5000
910	0.1944	0.9100	0.9143	0.9000		0.7452	0.6000	0.7500	0.2727		0.6212	0.6765	0.7500	0.5000
