
April 13th 09:41:

train with FocalLoss+ weight, dropput 0.2:

[c-xwu000:OvarianCancer]#/home/hxie1/anaconda3/bin/python  /home/hxie1/Projects/OvarianCancer/TrainSegV.py /home/hxie1/temp_netParameters/OvarianCancer /home/hxie1/data/OvarianCancerCT/Extract_uniform/trainImages /home/hxie1/data/OvarianCancerCT/Extract_uniform/trainLabels

Program starting Time:  2019-04-12 16:31:54.787057
Info: netPath = /home/hxie1/temp_netParameters/OvarianCancer

Building the Segmented Slice Tuple list, please waiting......
Directory of /home/hxie1/data/OvarianCancerCT/Extract_uniform/trainLabels has 441 segmented slices.
Input:  batchSize=64, depth=21, height=281, width=281, NumClassfication=4

Building the Segmented Slice Tuple list, please waiting......
Directory of /home/hxie1/data/OvarianCancerCT/Extract_uniform/testLabels has 141 segmented slices.
Input:  batchSize=64, depth=21, height=281, width=281, NumClassfication=4

Network has total 12854479 parameters.
Info: network dropout rate = 0.2
Network trains from scratch.

====================Net Architecture===========================
----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
================================================================
            Conv3d-1      [-1, 32, 9, 139, 139]           4,032
       BatchNorm3d-2      [-1, 32, 9, 139, 139]              64
         Dropout3d-3      [-1, 32, 9, 139, 139]               0
            Conv3d-4        [-1, 64, 3, 69, 69]          92,224
       BatchNorm3d-5        [-1, 64, 3, 69, 69]             128
         Dropout3d-6        [-1, 64, 3, 69, 69]               0
            Conv3d-7       [-1, 128, 1, 33, 33]         614,528
       BatchNorm3d-8       [-1, 128, 1, 33, 33]             256
         Dropout3d-9       [-1, 128, 1, 33, 33]               0
           Conv2d-10          [-1, 256, 15, 15]         819,456
      BatchNorm2d-11          [-1, 256, 15, 15]             512
        Dropout2d-12          [-1, 256, 15, 15]               0
           Conv2d-13            [-1, 512, 7, 7]       1,180,160
      BatchNorm2d-14            [-1, 512, 7, 7]           1,024
        Dropout2d-15            [-1, 512, 7, 7]               0
           Conv2d-16            [-1, 512, 3, 3]       2,359,808
      BatchNorm2d-17            [-1, 512, 3, 3]           1,024
        Dropout2d-18            [-1, 512, 3, 3]               0
  ConvTranspose2d-19            [-1, 512, 7, 7]       2,359,808
      BatchNorm2d-20            [-1, 512, 7, 7]           1,024
        Dropout2d-21            [-1, 512, 7, 7]               0
  ConvTranspose2d-22          [-1, 256, 15, 15]       2,359,552
      BatchNorm2d-23          [-1, 256, 15, 15]             512
        Dropout2d-24          [-1, 256, 15, 15]               0
  ConvTranspose2d-25          [-1, 128, 33, 33]       1,638,528
      BatchNorm2d-26          [-1, 128, 33, 33]             256
        Dropout2d-27          [-1, 128, 33, 33]               0
  ConvTranspose3d-28        [-1, 64, 3, 69, 69]       1,228,864
      BatchNorm3d-29        [-1, 64, 3, 69, 69]             128
        Dropout3d-30        [-1, 64, 3, 69, 69]               0
  ConvTranspose3d-31      [-1, 32, 9, 139, 139]         184,352
      BatchNorm3d-32      [-1, 32, 9, 139, 139]              64
        Dropout3d-33      [-1, 32, 9, 139, 139]               0
  ConvTranspose3d-34      [-1, 1, 21, 281, 281]           8,001
      BatchNorm3d-35      [-1, 1, 21, 281, 281]               2
        Dropout3d-36      [-1, 1, 21, 281, 281]               0
           Conv2d-37          [-1, 4, 281, 281]             172
================================================================
Total params: 12,854,479
Trainable params: 12,854,479
Non-trainable params: 0
----------------------------------------------------------------
Input size (MB): 6.33
Forward/backward pass size (MB): 347.20
Params size (MB): 49.04
Estimated Total Size (MB): 402.56
----------------------------------------------------------------
===================End of Net Architecture =====================

Info: program will use 4 GPUs.
Hints: Test Dice_0 is the dice coeff for all non-zero labels
Hints: Test Dice_1 is for primary cancer(green), test Dice_2 is for metastasis(yellow), and test Dice_3 is for invaded lymph node(brown).
Hints: Test TPR_0 is the TPR for all non-zero labels
Hints: Test TPR_1 is for primary cancer(green), TPR_2 is for metastasis(yellow), and TPR_3 is for invaded lymph node(brown).

Epoch 	 TrainingLoss 	 TestLoss 	 Dice_0	Dice_1	Dice_2	Dice_3 	 TPR_0	TPR_1	TPR_2	TPR_3
39 	 0.3965 	 0.4043 	 0.245	0.511	0.210	0.012 	 0.862	0.632	0.766	0.307
40 	 0.3991 	 0.3983 	 0.261	0.510	0.227	0.011 	 0.841	0.583	0.773	0.307
41 	 0.2962 	 0.3468 	 0.231	0.523	0.206	0.020 	 0.941	0.831	0.783	0.397
42 	 0.2874 	 0.4175 	 0.222	0.516	0.189	0.018 	 0.957	0.890	0.750	0.372
43 	 0.2667 	 0.4571 	 0.239	0.553	0.186	0.018 	 0.948	0.880	0.747	0.315
44 	 0.3683 	 0.4301 	 0.175	0.397	0.145	0.017 	 0.984	0.693	0.798	0.395
45 	 0.3681 	 0.5068 	 0.232	0.333	0.171	0.016 	 0.837	0.334	0.676	0.453
46 	 0.3340 	 0.3971 	 0.277	0.562	0.228	0.031 	 0.820	0.665	0.709	0.312
47 	 0.3220 	 0.4084 	 0.275	0.532	0.244	0.066 	 0.811	0.752	0.716	0.158
48 	 0.3301 	 0.4055 	 0.235	0.547	0.185	0.023 	 0.901	0.861	0.684	0.289
49 	 0.3321 	 0.5023 	 0.222	0.411	0.198	0.016 	 0.848	0.524	0.728	0.433
50 	 0.3696 	 0.3736 	 0.182	0.479	0.161	0.021 	 0.982	0.837	0.759	0.600
51 	 0.3375 	 0.3700 	 0.187	0.483	0.151	0.021 	 0.966	0.875	0.709	0.600
52 	 0.2775 	 0.3906 	 0.194	0.487	0.143	0.034 	 0.959	0.905	0.666	0.561
53 	 0.3672 	 0.3953 	 0.183	0.460	0.149	0.015 	 0.957	0.852	0.703	0.316
54 	 0.4360 	 0.3540 	 0.195	0.481	0.157	0.024 	 0.952	0.867	0.670	0.600
55 	 0.3812 	 0.3207 	 0.205	0.467	0.170	0.010 	 0.954	0.829	0.593	0.600
56 	 0.3606 	 0.3961 	 0.228	0.508	0.171	0.013 	 0.921	0.796	0.663	0.415
57 	 0.2936 	 0.3627 	 0.229	0.520	0.165	0.018 	 0.924	0.859	0.652	0.561
58 	 0.3369 	 0.3045 	 0.229	0.534	0.182	0.013 	 0.910	0.792	0.658	0.600
59 	 0.2965 	 0.2652 	 0.231	0.519	0.191	0.013 	 0.918	0.759	0.687	0.600
60 	 0.4235 	 0.2995 	 0.229	0.500	0.194	0.016 	 0.935	0.792	0.747	0.600
61 	 0.3032 	 0.3379 	 0.226	0.509	0.187	0.021 	 0.947	0.806	0.789	0.600
62 	 0.3068 	 0.3606 	 0.201	0.494	0.164	0.015 	 0.965	0.851	0.712	0.566
63 	 0.2727 	 0.3899 	 0.217	0.517	0.176	0.011 	 0.950	0.844	0.646	0.415
64 	 0.2907 	 0.4103 	 0.285	0.206	0.233	0.013 	 0.855	0.222	0.730	0.813
65 	 0.3048 	 0.3060 	 0.270	0.521	0.207	0.012 	 0.904	0.639	0.760	0.600
66 	 0.2879 	 0.3195 	 0.222	0.540	0.168	0.016 	 0.946	0.858	0.760	0.600
67 	 0.3787 	 0.3438 	 0.218	0.508	0.176	0.021 	 0.949	0.856	0.771	0.595
68 	 0.2717 	 0.3545 	 0.221	0.498	0.187	0.022 	 0.948	0.849	0.769	0.580
69 	 0.2745 	 0.3892 	 0.213	0.490	0.179	0.021 	 0.965	0.906	0.739	0.556
70 	 0.2598 	 0.3916 	 0.219	0.460	0.187	0.016 	 0.973	0.724	0.823	0.600
71 	 0.3264 	 0.3443 	 0.229	0.524	0.167	0.009 	 0.935	0.803	0.683	0.600
72 	 0.3160 	 0.7828 	 0.231	0.247	0.198	0.000 	 0.608	0.243	0.612	0.002
73 	 0.3331 	 0.5057 	 0.246	0.533	0.187	0.019 	 0.861	0.759	0.767	0.194
74 	 0.2716 	 0.3479 	 0.221	0.509	0.182	0.019 	 0.951	0.768	0.844	0.595
75 	 0.2677 	 0.3115 	 0.227	0.566	0.171	0.016 	 0.953	0.846	0.775	0.600
76 	 0.3584 	 0.3121 	 0.231	0.545	0.187	0.016 	 0.947	0.821	0.802	0.600
77 	 0.2526 	 0.3333 	 0.231	0.526	0.187	0.018 	 0.942	0.837	0.784	0.600
78 	 0.3185 	 0.3524 	 0.236	0.535	0.180	0.019 	 0.925	0.894	0.711	0.595
79 	 0.2644 	 0.3575 	 0.228	0.526	0.184	0.018 	 0.947	0.884	0.757	0.600
80 	 0.3215 	 0.3048 	 0.246	0.459	0.201	0.011 	 0.944	0.574	0.879	0.600
81 	 0.3215 	 0.2871 	 0.246	0.561	0.187	0.011 	 0.933	0.811	0.770	0.600
82 	 0.3803 	 0.2999 	 0.237	0.538	0.181	0.012 	 0.955	0.819	0.783	0.600
83 	 0.2570 	 0.3690 	 0.255	0.527	0.196	0.019 	 0.908	0.717	0.844	0.397
84 	 0.2401 	 0.4495 	 0.246	0.560	0.189	0.011 	 0.892	0.803	0.782	0.200
85 	 0.2564 	 0.3947 	 0.233	0.542	0.184	0.014 	 0.936	0.840	0.794	0.400
86 	 0.2755 	 0.3871 	 0.225	0.531	0.173	0.017 	 0.952	0.909	0.761	0.410
87 	 0.2919 	 0.3730 	 0.234	0.547	0.179	0.021 	 0.946	0.879	0.778	0.468
88 	 0.3265 	 0.3589 	 0.239	0.570	0.181	0.023 	 0.944	0.870	0.781	0.585
89 	 0.2588 	 0.3493 	 0.237	0.577	0.184	0.024 	 0.948	0.865	0.817	0.571
90 	 0.2415 	 0.3512 	 0.239	0.576	0.186	0.026 	 0.954	0.810	0.835	0.600
91 	 0.2329 	 0.3982 	 0.233	0.500	0.184	0.031 	 0.959	0.653	0.858	0.600
92 	 0.3452 	 0.4726 	 0.218	0.517	0.159	0.017 	 0.918	0.869	0.752	0.116
93 	 0.2251 	 0.6152 	 0.239	0.522	0.178	0.000 	 0.865	0.793	0.753	0.000
94 	 0.2371 	 0.4606 	 0.242	0.546	0.181	0.022 	 0.905	0.882	0.729	0.099
95 	 0.2797 	 0.4186 	 0.223	0.488	0.184	0.034 	 0.948	0.878	0.799	0.379
96 	 0.2602 	 0.3860 	 0.232	0.517	0.180	0.025 	 0.941	0.904	0.742	0.400
97 	 0.2744 	 0.3710 	 0.235	0.528	0.193	0.024 	 0.938	0.841	0.745	0.600
98 	 0.3206 	 0.3532 	 0.251	0.536	0.206	0.024 	 0.924	0.741	0.831	0.600
99 	 0.2335 	 0.3536 	 0.239	0.546	0.192	0.030 	 0.941	0.820	0.846	0.557
100 	 0.3241 	 0.4891 	 0.243	0.509	0.188	0.029 	 0.899	0.809	0.761	0.184
101 	 0.2264 	 0.4096 	 0.250	0.551	0.184	0.027 	 0.910	0.883	0.699	0.333
102 	 0.3338 	 0.4750 	 0.303	0.449	0.243	0.027 	 0.772	0.436	0.775	0.224
103 	 0.2619 	 0.3656 	 0.247	0.593	0.182	0.031 	 0.914	0.731	0.843	0.453
104 	 0.3585 	 0.4557 	 0.225	0.445	0.179	0.033 	 0.950	0.558	0.874	0.453
105 	 0.3123 	 0.8238 	 0.210	0.153	0.174	0.000 	 0.893	0.137	0.838	0.000
106 	 0.2803 	 0.4161 	 0.222	0.546	0.166	0.014 	 0.921	0.901	0.668	0.312
107 	 0.2340 	 0.5096 	 0.214	0.518	0.162	0.008 	 0.944	0.810	0.821	0.122
108 	 0.3112 	 0.4519 	 0.212	0.521	0.157	0.012 	 0.944	0.857	0.786	0.186
109 	 0.3107 	 0.3657 	 0.216	0.499	0.169	0.017 	 0.952	0.800	0.861	0.425
110 	 0.2942 	 0.3303 	 0.199	0.480	0.171	0.012 	 0.961	0.847	0.822	0.600
111 	 0.2681 	 0.3044 	 0.210	0.536	0.163	0.012 	 0.955	0.888	0.733	0.600
112 	 0.3499 	 0.3065 	 0.224	0.570	0.179	0.015 	 0.952	0.855	0.821	0.600
113 	 0.2682 	 0.3307 	 0.237	0.600	0.179	0.019 	 0.945	0.894	0.780	0.600
114 	 0.2414 	 0.3466 	 0.235	0.567	0.190	0.015 	 0.930	0.835	0.806	0.548
115 	 0.2809 	 0.4181 	 0.238	0.528	0.198	0.006 	 0.882	0.775	0.746	0.200
116 	 0.2753 	 0.3650 	 0.242	0.538	0.202	0.018 	 0.912	0.831	0.750	0.600
117 	 0.2803 	 0.3460 	 0.246	0.541	0.205	0.021 	 0.912	0.844	0.749	0.600
118 	 0.3127 	 0.3410 	 0.235	0.537	0.196	0.020 	 0.930	0.887	0.746	0.600
119 	 0.2834 	 0.3488 	 0.225	0.519	0.188	0.022 	 0.939	0.901	0.755	0.595
120 	 0.3217 	 0.3710 	 0.242	0.572	0.185	0.029 	 0.930	0.911	0.737	0.580
121 	 0.2888 	 0.4575 	 0.211	0.469	0.176	0.029 	 0.975	0.600	0.890	0.597
122 	 0.3036 	 0.4782 	 0.239	0.539	0.204	0.033 	 0.942	0.630	0.851	0.586
123 	 0.2393 	 0.4179 	 0.236	0.578	0.189	0.041 	 0.954	0.727	0.864	0.584
124 	 0.2472 	 0.3991 	 0.221	0.548	0.157	0.035 	 0.959	0.882	0.756	0.521
125 	 0.2747 	 0.3994 	 0.239	0.542	0.178	0.034 	 0.944	0.824	0.825	0.395
126 	 0.2436 	 0.4263 	 0.240	0.530	0.184	0.031 	 0.940	0.838	0.818	0.347
127 	 0.3198 	 0.4488 	 0.226	0.512	0.174	0.023 	 0.939	0.880	0.748	0.166
128 	 0.2284 	 0.3772 	 0.244	0.550	0.191	0.026 	 0.940	0.869	0.813	0.400
129 	 0.2129 	 0.3675 	 0.249	0.569	0.192	0.031 	 0.938	0.860	0.826	0.512
130 	 0.2682 	 0.3880 	 0.236	0.538	0.182	0.034 	 0.955	0.927	0.763	0.541
131 	 0.2095 	 0.3887 	 0.248	0.550	0.201	0.043 	 0.949	0.851	0.848	0.546
132 	 0.3106 	 0.4150 	 0.249	0.586	0.190	0.048 	 0.953	0.895	0.809	0.498
133 	 0.2592 	 0.3989 	 0.244	0.568	0.195	0.043 	 0.957	0.859	0.864	0.541
134 	 0.1981 	 0.3710 	 0.252	0.548	0.198	0.039 	 0.939	0.848	0.839	0.532
135 	 0.2358 	 0.3761 	 0.241	0.551	0.175	0.042 	 0.950	0.862	0.825	0.502
136 	 0.2449 	 0.3669 	 0.257	0.586	0.184	0.032 	 0.939	0.851	0.815	0.600
137 	 0.2490 	 0.3397 	 0.262	0.567	0.196	0.019 	 0.925	0.820	0.789	0.600
138 	 0.2330 	 0.3720 	 0.246	0.528	0.198	0.022 	 0.908	0.914	0.766	0.547
139 	 0.2368 	 0.3593 	 0.229	0.522	0.192	0.020 	 0.942	0.934	0.799	0.600
140 	 0.2221 	 0.3101 	 0.238	0.557	0.197	0.019 	 0.931	0.856	0.838	0.600
141 	 0.3208 	 0.3250 	 0.237	0.586	0.172	0.026 	 0.937	0.861	0.822	0.600
142 	 0.3026 	 0.3588 	 0.237	0.546	0.172	0.031 	 0.943	0.759	0.892	0.384
143 	 0.2525 	 0.3619 	 0.251	0.574	0.185	0.039 	 0.926	0.814	0.865	0.302
144 	 0.3341 	 0.3540 	 0.256	0.578	0.192	0.039 	 0.934	0.873	0.834	0.494
145 	 0.2185 	 0.3634 	 0.228	0.538	0.173	0.036 	 0.976	0.869	0.879	0.553
146 	 0.2704 	 0.3758 	 0.248	0.540	0.174	0.026 	 0.954	0.687	0.813	0.600
147 	 0.3431 	 0.3717 	 0.240	0.571	0.173	0.015 	 0.949	0.739	0.806	0.587
148 	 0.2361 	 0.4370 	 0.230	0.512	0.174	0.015 	 0.919	0.822	0.800	0.200
149 	 0.3054 	 0.5432 	 0.268	0.566	0.209	0.000 	 0.816	0.789	0.762	0.000
150 	 0.2556 	 0.4288 	 0.268	0.569	0.201	0.012 	 0.852	0.706	0.821	0.200
151 	 0.2578 	 0.3725 	 0.213	0.506	0.163	0.012 	 0.972	0.790	0.867	0.449
152 	 0.3172 	 0.3940 	 0.220	0.539	0.181	0.009 	 0.959	0.863	0.803	0.405
153 	 0.3139 	 0.3956 	 0.231	0.554	0.190	0.011 	 0.941	0.890	0.773	0.400
154 	 0.3395 	 0.3814 	 0.217	0.519	0.171	0.012 	 0.957	0.928	0.762	0.405
155 	 0.2625 	 0.3259 	 0.220	0.549	0.177	0.014 	 0.973	0.863	0.846	0.600
156 	 0.2503 	 0.2628 	 0.234	0.589	0.168	0.014 	 0.950	0.846	0.805	0.600
157 	 0.2638 	 0.2741 	 0.244	0.592	0.172	0.022 	 0.939	0.806	0.837	0.600
158 	 0.2710 	 0.3222 	 0.234	0.573	0.172	0.024 	 0.955	0.866	0.844	0.532
159 	 0.1973 	 0.3581 	 0.229	0.550	0.181	0.023 	 0.967	0.871	0.876	0.434
160 	 0.2662 	 0.3512 	 0.242	0.565	0.194	0.026 	 0.958	0.892	0.844	0.556
161 	 0.2216 	 0.3119 	 0.259	0.545	0.201	0.029 	 0.935	0.787	0.871	0.572
162 	 0.2405 	 0.3093 	 0.270	0.581	0.193	0.029 	 0.925	0.848	0.802	0.545
163 	 0.2947 	 0.3269 	 0.256	0.537	0.190	0.031 	 0.948	0.781	0.881	0.522
164 	 0.2047 	 0.3347 	 0.256	0.577	0.183	0.035 	 0.939	0.860	0.838	0.466
165 	 0.2736 	 0.3839 	 0.244	0.596	0.168	0.039 	 0.949	0.900	0.805	0.394
166 	 0.2378 	 0.3674 	 0.251	0.536	0.191	0.033 	 0.934	0.818	0.880	0.205
167 	 0.3134 	 0.3895 	 0.252	0.548	0.173	0.031 	 0.924	0.895	0.756	0.197
168 	 0.2559 	 0.3932 	 0.255	0.565	0.180	0.029 	 0.921	0.909	0.746	0.212
169 	 0.2206 	 0.3912 	 0.237	0.556	0.175	0.032 	 0.957	0.918	0.825	0.327
170 	 0.2412 	 0.4051 	 0.249	0.569	0.182	0.034 	 0.947	0.906	0.825	0.263
171 	 0.2163 	 0.4150 	 0.247	0.568	0.181	0.033 	 0.950	0.890	0.850	0.184
172 	 0.2588 	 0.4280 	 0.249	0.556	0.183	0.030 	 0.949	0.841	0.886	0.121
173 	 0.2365 	 0.4295 	 0.251	0.531	0.189	0.033 	 0.943	0.869	0.836	0.146
174 	 0.2107 	 0.3749 	 0.254	0.532	0.187	0.038 	 0.931	0.851	0.802	0.373
175 	 0.2417 	 0.3838 	 0.256	0.524	0.188	0.037 	 0.917	0.816	0.823	0.290
176 	 0.2128 	 0.4371 	 0.254	0.553	0.173	0.036 	 0.918	0.879	0.770	0.146
177 	 0.1998 	 0.4995 	 0.243	0.559	0.161	0.014 	 0.935	0.923	0.770	0.034
178 	 0.1763 	 0.4783 	 0.242	0.540	0.175	0.024 	 0.948	0.873	0.852	0.071
179 	 0.3129 	 0.3832 	 0.265	0.573	0.203	0.025 	 0.923	0.893	0.796	0.233
180 	 0.1979 	 0.4137 	 0.272	0.565	0.215	0.020 	 0.914	0.854	0.801	0.200
181 	 0.2333 	 0.4012 	 0.252	0.527	0.197	0.027 	 0.939	0.842	0.850	0.400
182 	 0.2182 	 0.4432 	 0.251	0.536	0.191	0.028 	 0.945	0.870	0.821	0.400
183 	 0.2177 	 0.4525 	 0.244	0.506	0.189	0.030 	 0.958	0.821	0.863	0.398
184 	 0.3154 	 0.4370 	 0.257	0.560	0.186	0.031 	 0.945	0.879	0.814	0.395
185 	 0.2116 	 0.6361 	 0.285	0.508	0.209	0.000 	 0.850	0.687	0.757	0.000
186 	 0.2325 	 0.3803 	 0.272	0.551	0.196	0.024 	 0.894	0.857	0.718	0.473
187 	 0.2447 	 0.3825 	 0.256	0.574	0.173	0.030 	 0.915	0.925	0.714	0.546
188 	 0.3124 	 0.4086 	 0.238	0.560	0.159	0.035 	 0.949	0.905	0.798	0.391
189 	 0.2091 	 0.4486 	 0.239	0.543	0.166	0.039 	 0.948	0.887	0.821	0.345
190 	 0.2129 	 0.4369 	 0.252	0.536	0.182	0.041 	 0.932	0.860	0.817	0.384
